team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
team-flanders-baloise,Team Flanders - Baloise,2026,271,Trofeo Calvià,1.1,2026-01-28,completed,sprint-friendly one-day,44.588277,44.588277,7,HESTERS Jules,oneday,0.15702,24.515157,0.986126,0.140875,146.572987,0.630688,HESTERS Jules | VAN HEMELEN Vincent | LAMBRECHT Michiel,oneday | oneday | oneday
team-flanders-baloise,Team Flanders - Baloise,2026,27987,Trofeo Ses Salines TTT,1.1,2026-01-29,completed,sprint-friendly one-day,37.702012,37.702012,7,HESTERS Jules,oneday,0.15702,20.197666,0.986126,0.140875,119.954961,0.603261,HESTERS Jules | VAN HEMELEN Vincent | LAMBRECHT Michiel,oneday | oneday | oneday
team-flanders-baloise,Team Flanders - Baloise,2026,100,Trofeo Serra Tramuntana,1.1,2026-01-30,completed,sprint-friendly one-day,27.485616,27.485616,7,HESTERS Jules,oneday,0.15702,14.163846,0.986126,0.140875,83.218657,0.563276,HESTERS Jules | VAN HEMELEN Vincent | LAMBRECHT Michiel,oneday | oneday | oneday
team-flanders-baloise,Team Flanders - Baloise,2026,274,Trofeo Andratx - Pollença,1.1,2026-01-31,completed,sprint-friendly one-day,34.62026,34.62026,7,HESTERS Jules,oneday,0.15702,18.449871,0.986126,0.140875,109.405709,0.597678,HESTERS Jules | VAN HEMELEN Vincent | LAMBRECHT Michiel,oneday | oneday | oneday
team-flanders-baloise,Team Flanders - Baloise,2026,83,Trofeo Palma,1.1,2026-02-01,completed,sprint-friendly one-day,38.445007,38.445007,7,HESTERS Jules,oneday,0.15702,20.847747,0.986126,0.140875,124.198178,0.615958,HESTERS Jules | VAN HEMELEN Vincent | LAMBRECHT Michiel,oneday | oneday | oneday
team-flanders-baloise,Team Flanders - Baloise,2026,106,Étoile de Bessèges,2.1,2026-02-04,completed,multi-stage race,38.553857,38.553857,7,CRABBE Tom,sprint,0.176618,15.791249,1.000617,0.142945,98.340309,0.415291,CRABBE Tom | HESTERS Jules | VAN HEMELEN Vincent,sprint | oneday | oneday
team-flanders-baloise,Team Flanders - Baloise,2026,74,Vuelta a Murcia,2.1,2026-02-13,completed,sprint-friendly one-day,19.244066,19.244066,7,HESTERS Jules,oneday,0.15702,9.979333,0.986126,0.140875,58.735933,0.569624,HESTERS Jules | VAN HEMELEN Vincent | LAMBRECHT Michiel,oneday | oneday | oneday
team-flanders-baloise,Team Flanders - Baloise,2026,129,Clasica de Almeria,1.Pro,2026-02-15,completed,sprint-friendly one-day,81.360395,81.360395,7,HESTERS Jules,oneday,0.15702,42.894641,0.986126,0.140875,253.62069,0.586531,HESTERS Jules | VAN HEMELEN Vincent | LAMBRECHT Michiel,oneday | oneday | oneday
team-flanders-baloise,Team Flanders - Baloise,2026,16519,Clásica Jaén,1.1,2026-02-16,completed,sprint-friendly one-day,54.873178,54.873178,7,HESTERS Jules,oneday,0.15702,30.625095,0.986126,0.140875,183.806926,0.6469,HESTERS Jules | VAN HEMELEN Vincent | LAMBRECHT Michiel,oneday | oneday | oneday
team-flanders-baloise,Team Flanders - Baloise,2026,110,Vuelta a Andalucía,2.Pro,2026-02-18,completed,multi-stage race,151.584808,151.584808,7,CRABBE Tom,sprint,0.176618,72.996284,1.00178,0.143111,414.909249,0.461981,CRABBE Tom | HESTERS Jules | VANDENABEELE Henri,sprint | oneday | gc
team-flanders-baloise,Team Flanders - Baloise,2026,53,Omloop Nieuwsblad,1.UWT,2026-02-28,completed,hard one-day,44.443668,44.443668,7,HESTERS Jules,oneday,0.15702,22.800222,0.986126,0.140875,134.127728,0.560733,HESTERS Jules | VAN HEMELEN Vincent | LAMBRECHT Michiel,oneday | oneday | oneday
team-flanders-baloise,Team Flanders - Baloise,2026,84,Kuurne-Brussel-Kuurne,1.Pro,2026-03-01,completed,sprint-friendly one-day,57.474678,57.474678,7,HESTERS Jules,oneday,0.15702,28.669494,0.925804,0.132258,166.957771,0.574369,HESTERS Jules | VAN HEMELEN Vincent | LAMBRECHT Michiel,oneday | oneday | oneday
team-flanders-baloise,Team Flanders - Baloise,2026,116,Ename Samyn Classic,1.1,2026-03-03,completed,sprint-friendly one-day,17.693857,17.693857,7,HESTERS Jules,oneday,0.15702,8.930667,0.986126,0.140875,52.162661,0.542587,HESTERS Jules | VAN HEMELEN Vincent | LAMBRECHT Michiel,oneday | oneday | oneday
team-flanders-baloise,Team Flanders - Baloise,2026,122,Nokere Koerse,1.Pro,2026-03-18,completed,sprint-friendly one-day,72.839715,72.839715,7,HESTERS Jules,oneday,0.15702,37.652631,0.986126,0.140875,221.418214,0.566415,HESTERS Jules | VAN HEMELEN Vincent | LAMBRECHT Michiel,oneday | oneday | oneday
