team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
team-novo-nordisk,Team Novo Nordisk,2026,319,Volta Comunitat Valenciana,2.Pro,2026-02-04,completed,multi-stage race,146.669001,146.669001,7,RIDOLFO Filippo,oneday,0.117417,60.928543,0.811853,0.115979,383.960874,0.524266,RIDOLFO Filippo | ARMITT Hamish | BEADLE Hamish,oneday | fallback | fallback
team-novo-nordisk,Team Novo Nordisk,2026,4396,Tour de La Provence,2.1,2026-02-13,completed,short stage race,98.406254,98.406254,7,RIDOLFO Filippo,oneday,0.117417,39.444973,0.811853,0.115979,216.108604,0.414711,RIDOLFO Filippo | ARMITT Hamish | BEADLE Hamish,oneday | fallback | fallback
team-novo-nordisk,Team Novo Nordisk,2026,109,Giro di Sardegna,2.1,2026-02-25,completed,multi-stage race,56.628484,56.628484,7,RIDOLFO Filippo,oneday,0.117417,22.776249,0.811853,0.115979,128.625519,0.434271,RIDOLFO Filippo | ARMITT Hamish | BEADLE Hamish,oneday | fallback | fallback
team-novo-nordisk,Team Novo Nordisk,2026,132,Tour de Taiwan,2.1,2026-03-15,completed,multi-stage race,52.085524,52.085524,7,RIDOLFO Filippo,oneday,0.117417,21.022299,0.811853,0.115979,119.320808,0.439328,RIDOLFO Filippo | ARMITT Hamish | BEADLE Hamish,oneday | fallback | fallback
team-novo-nordisk,Team Novo Nordisk,2026,4,Milano-Sanremo,1.UWT,2026-03-21,completed,hard one-day,43.485073,43.485073,7,RIDOLFO Filippo,oneday,0.117417,22.581791,0.811853,0.115979,88.521177,0.373044,RIDOLFO Filippo | ARMITT Hamish | BEADLE Hamish,oneday | fallback | fallback
team-novo-nordisk,Team Novo Nordisk,2026,260,La Roue Tourangelle,1.1,2026-03-29,completed,sprint-friendly one-day,25.495122,25.495122,7,RIDOLFO Filippo,oneday,0.117417,13.517058,0.811853,0.115979,52.52823,0.379448,RIDOLFO Filippo | ARMITT Hamish | BEADLE Hamish,oneday | fallback | fallback
team-novo-nordisk,Team Novo Nordisk,2026,134,Route Adélie de Vitré,1.1,2026-04-03,completed,hard one-day,12.976975,12.976975,7,RIDOLFO Filippo,oneday,0.117417,6.439115,0.811853,0.115979,28.171899,0.408172,RIDOLFO Filippo | ARMITT Hamish | BEADLE Hamish,oneday | fallback | fallback
team-novo-nordisk,Team Novo Nordisk,2026,217,Région Pays de la Loire Tour,2.Pro,2026-04-07,completed,short stage race,39.42833,39.42833,7,RIDOLFO Filippo,oneday,0.117417,15.830897,0.811853,0.115979,87.045333,0.417723,RIDOLFO Filippo | ARMITT Hamish | BEADLE Hamish,oneday | fallback | fallback
team-novo-nordisk,Team Novo Nordisk,2026,139,Tour of Hainan,2.Pro,2026-04-15,completed,multi-stage race,205.902707,205.902707,7,RIDOLFO Filippo,oneday,0.117417,84.295307,0.811853,0.115979,503.922545,0.48232,RIDOLFO Filippo | MACKIE Donovan | ARMITT Hamish,oneday | sprint | fallback
team-novo-nordisk,Team Novo Nordisk,2026,152,Tour of Türkiye,2.Pro,2026-04-26,scheduled,multi-stage race,164.628257,164.628257,7,RIDOLFO Filippo,oneday,0.117417,68.109488,0.811853,0.115979,437.823777,0.539745,RIDOLFO Filippo | MACKIE Donovan | ARMITT Hamish,oneday | sprint | fallback
team-novo-nordisk,Team Novo Nordisk,2026,513,Tour of Hellas,2.1,2026-05-06,scheduled,multi-stage race,59.830386,59.830386,7,RIDOLFO Filippo,oneday,0.117417,23.863306,0.811853,0.115979,129.612831,0.409321,RIDOLFO Filippo | ARMITT Hamish | BEADLE Hamish,oneday | fallback | fallback
team-novo-nordisk,Team Novo Nordisk,2026,539,Grand Prix Criquielion,1.1,2026-05-24,scheduled,sprint-friendly one-day,25.692171,25.692171,7,RIDOLFO Filippo,oneday,0.117417,13.717802,0.811853,0.115979,52.424651,0.376634,RIDOLFO Filippo | ARMITT Hamish | BEADLE Hamish,oneday | fallback | fallback
team-novo-nordisk,Team Novo Nordisk,2026,10204,Antwerp Port Epic,1.1,2026-05-25,scheduled,sprint-friendly one-day,33.228537,33.228537,7,RIDOLFO Filippo,oneday,0.117417,18.142347,0.811853,0.115979,66.577228,0.367056,RIDOLFO Filippo | MACKIE Donovan | ARMITT Hamish,oneday | sprint | fallback
team-novo-nordisk,Team Novo Nordisk,2026,250,Tour of Estonia,2.1,2026-06-04,scheduled,short stage race,16.025878,16.025878,7,RIDOLFO Filippo,oneday,0.117417,6.622966,0.811853,0.115979,41.337817,0.514283,RIDOLFO Filippo | ARMITT Hamish | BEADLE Hamish,oneday | fallback | fallback
team-novo-nordisk,Team Novo Nordisk,2026,211,Tour of Slovenia,2.Pro,2026-06-17,scheduled,multi-stage race,138.115687,138.115687,7,RIDOLFO Filippo,oneday,0.117417,57.730724,0.811853,0.115979,371.136543,0.542258,RIDOLFO Filippo | ARMITT Hamish | BEADLE Hamish,oneday | fallback | fallback
team-novo-nordisk,Team Novo Nordisk,2026,32,PostNord Tour of Denmark,2.Pro,2026-07-29,scheduled,multi-stage race,110.70534,110.70534,7,RIDOLFO Filippo,oneday,0.117417,46.790766,0.811853,0.115979,313.685811,0.580278,RIDOLFO Filippo | ARMITT Hamish | BEADLE Hamish,oneday | fallback | fallback
