team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
burgos-burpellet-bh,Burgos Burpellet BH,2026,24922,Classica Camp de Morvedre,1.1,2026-01-23,completed,sprint-friendly one-day,29.449619,29.449619,7,BURNETT Josh,oneday,0.182212,15.796007,1.157813,0.165402,93.461613,0.56516,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,22183,Gran Premio Castellón,1.1,2026-01-24,completed,sprint-friendly one-day,58.860404,58.860404,7,BURNETT Josh,oneday,0.182212,33.11189,1.157813,0.165402,192.574616,0.590642,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,411,Clàssica Comunitat Valenciana 1969,1.1,2026-01-25,completed,sprint-friendly one-day,51.220572,51.220572,7,BURNETT Josh,oneday,0.182212,28.539887,1.157813,0.165402,166.564909,0.585499,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,271,Trofeo Calvià,1.1,2026-01-28,completed,sprint-friendly one-day,43.466358,43.466358,7,BURNETT Josh,oneday,0.182212,23.9268,1.157813,0.165402,140.266982,0.579034,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,27987,Trofeo Ses Salines TTT,1.1,2026-01-29,completed,sprint-friendly one-day,36.812024,36.812024,7,BURNETT Josh,oneday,0.182212,19.745009,1.157813,0.165402,116.827016,0.56516,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,100,Trofeo Serra Tramuntana,1.1,2026-01-30,completed,sprint-friendly one-day,26.891628,26.891628,7,BURNETT Josh,oneday,0.182212,13.875377,1.157813,0.165402,83.348796,0.545893,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,274,Trofeo Andratx - Pollença,1.1,2026-01-31,completed,sprint-friendly one-day,33.809058,33.809058,7,BURNETT Josh,oneday,0.182212,18.039722,1.157813,0.165402,106.990307,0.562805,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,83,Trofeo Palma,1.1,2026-02-01,completed,sprint-friendly one-day,30.005818,30.005818,7,BURNETT Josh,oneday,0.182212,16.291055,1.157813,0.165402,95.99293,0.571792,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,97,GP la Marseillaise,1.1,2026-02-01,completed,sprint-friendly one-day,20.864602,20.864602,7,BURNETT Josh,oneday,0.182212,10.952938,1.157813,0.165402,65.361452,0.55452,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,319,Volta Comunitat Valenciana,2.Pro,2026-02-04,completed,multi-stage race,116.469555,116.469555,7,DÍAZ José Manuel,fallback,0.24675,63.513654,1.218844,0.174121,351.389109,0.495752,DÍAZ José Manuel | HERRADA Jesús | QUARTUCCI Lorenzo,fallback | gc | hills
burgos-burpellet-bh,Burgos Burpellet BH,2026,18946,Muscat Classic,1.Pro,2026-02-06,completed,sprint-friendly one-day,35.181566,35.181566,7,BURNETT Josh,oneday,0.182212,19.778524,1.157813,0.165402,115.056605,0.590291,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,57,Tour of Oman,2.Pro,2026-02-07,completed,multi-stage race,136.201432,136.201432,7,DÍAZ José Manuel,fallback,0.24675,71.877976,1.225024,0.175003,404.949225,0.48084,DÍAZ José Manuel | HERRADA Jesús | QUARTUCCI Lorenzo,fallback | gc | hills
burgos-burpellet-bh,Burgos Burpellet BH,2026,74,Vuelta a Murcia,2.1,2026-02-13,completed,sprint-friendly one-day,18.821694,18.821694,7,BURNETT Josh,oneday,0.182212,9.77264,1.157813,0.165402,58.562724,0.549014,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,129,Clasica de Almeria,1.Pro,2026-02-15,completed,sprint-friendly one-day,79.501838,79.501838,7,BURNETT Josh,oneday,0.182212,41.966881,1.157813,0.165402,249.909911,0.557326,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,16519,Clásica Jaén,1.1,2026-02-16,completed,sprint-friendly one-day,53.44617,53.44617,7,BURNETT Josh,oneday,0.182212,29.863699,1.157813,0.165402,174.112013,0.587003,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,110,Vuelta a Andalucía,2.Pro,2026-02-18,completed,multi-stage race,151.539604,151.539604,7,DÍAZ José Manuel,fallback,0.24675,80.536441,1.225024,0.175003,449.28859,0.478674,DÍAZ José Manuel | HERRADA Jesús | QUARTUCCI Lorenzo,fallback | gc | hills
burgos-burpellet-bh,Burgos Burpellet BH,2026,53,Omloop Nieuwsblad,1.UWT,2026-02-28,completed,hard one-day,34.780607,34.780607,7,BURNETT Josh,oneday,0.182212,17.865732,1.157813,0.165402,106.728283,0.537888,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,27602,Visit South Aegean GP,1.1,2026-02-28,completed,sprint-friendly one-day,29.449619,29.449619,7,BURNETT Josh,oneday,0.182212,15.796007,1.157813,0.165402,93.461613,0.56516,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,84,Kuurne-Brussel-Kuurne,1.Pro,2026-03-01,completed,sprint-friendly one-day,45.065288,45.065288,7,BURNETT Josh,oneday,0.182212,22.508982,1.157813,0.165402,136.926489,0.530041,BURNETT Josh | FAGÚNDEZ Eric Antonio | DÍAZ José Manuel,oneday | oneday | fallback
burgos-burpellet-bh,Burgos Burpellet BH,2026,27604,Region on Dodecanese GP,1.1,2026-03-01,completed,sprint-friendly one-day,29.449619,29.449619,7,BURNETT Josh,oneday,0.182212,15.796007,1.157813,0.165402,93.461613,0.56516,BURNETT Josh | FAGÚNDEZ Eric Antonio | CAVIA Daniel,oneday | oneday | oneday
burgos-burpellet-bh,Burgos Burpellet BH,2026,132,Tour de Taiwan,2.1,2026-03-15,completed,multi-stage race,51.750061,51.750061,7,DÍAZ José Manuel,fallback,0.24675,25.501899,1.242973,0.177568,142.079746,0.408502,DÍAZ José Manuel | QUARTUCCI Lorenzo | BURNETT Josh,fallback | hills | oneday
